,conference_acronym,conference_name,paper_submitted,paper_accepted,acceptance_rate,final_rank,core_rank_2008,era_rank_2010,core_rank_2013,core_rank_2014,survey_rank_2015,conference_field
1,Security and Privacy,IEEE Symposium on Security and Privacy,257,29,11.3,A,A,A,A,A,A,"Computation Theory and Mathematics, Computer Software"
2,WWW,World Wide Web Conference,779,93,11.9,A,A,A,A,A,A,"Distributed Computing, Information Systems, Library and Information Studies"
3,Sigcomm,Sigcomm,258,32,12.4,A,A,A,A,A,A,Computer Software
4,Mobicom,ACM Mobicom,241,31,12.9,A,A,A,A,A,A,Computer Hardware
5,Security,USENIX Security Symposium,188,29,15.4,A,B,A,A,A,A,Computer Software
6,NDSS,Network and Distributed System Security,147,23,15.6,A,A,A,A,A,,"Computer Software, Distributed Computing "
7,ICDCS,Conference on Distributed Computing Systems,552,87,15.8,A,A,A,A,A,,Distributed Computing
8,Sigmetrics,Sigmetrics,189,30,15.8,A,A,A,A,A,A,Computer Hardware
9,HiPC,High Performance Computing,243,40,16.5,A,A,A,A,A,C,Distributed Computing
10,CCS,Computer and Communications Security,336,56,16.7,A,A,A,A,A,A,Computer Software
11,ATC,USENIX Annual Technical Conference,199,34,17.1,A,A,A,A,A,A,Information and Computing Sciences
12,EuroSys,ACM European Conference on Computer Systems,143,25,17.5,A,A,A,A,A,B,Computer Software
13,MobiHoc,ACM Symposium on Mobile Ad Hoc Networking and Computing. ,176,31,17.6,A,A,A,A,A,A,Data Format
14,CoNEXT,ACM International Conference on Emerging Networking Experiments and Technologies,164,29,17.7,A,,A,A,A,A,Distributed Computing
15,SenSys,ACM Conference on Embedded Networked Sensor Systems,135,24,17.7,A,A,A,A,A,A,Computer Hardware
16,NSDI,USENIX Symposium on Networked Systems Design and Implementation,168,30,17.9,A,A,B,B,B,A,Distributed Computing
17,EWSN,European Conference on Wireless Sensor Networks,106,19,17.9,A,A,,A,A,,Communications Technologies
18,ICNP,Conference on Network Protocols,178,32,18.0,A,A,A,A,A,B,Computer Hardware
19,Infocom,IEEE Infocom,1508,273,18.1,A,A,A,A,A,A,Distributed Computing
20,MobiSys,"ACM Conference on Mobile Systems, Applications, and Services",140,26,18.6,A,A,B,B,B,A,Distributed Computing
21,ACNS,Conference on Applied Cryptography and Network Security,165,31,18.8,A,,B,B,B,C,Computer Software
22,IMC,ACM Internet Measurement Conference,196,41,20.9,A,A,A,A,A,A,Information Systems
23,CloudCom,International Conference on Cloud Computing Technology and Science,263,58,22.1,B,,C,C,C,C,Information Systems
24,P2P,International Conference on Peer-to-Peer Computing,139,31,22.3,B,A,C,C,C,C,Information Systems
25,IPDPS,IEEE International Parallel & Distributed Processing Symposium,503,113,22.5,B,B,B,B,B,B,Distributed Computing
26,RTSS,IEEE Real-Time Systems Symposium,168,38,22.6,B,A,A,A,A,,Computer Hardware
27,ICS,International Conference on Supercomputing,168,38,22.6,B,A,A,A,A,,Distributed Computing
28,DEBS,ACM International Conference on Distributed Event-Based Systems,78,18,23.1,B,,,,,,
29,Mobiquitous,"International Conference on Mobile and Ubiquitous Systems: Computing, Networking and Services",104,24,23.1,B,A,A,A,A,C,Distributed Computing
30,RTAS,IEEE Real-time and Embedded Technology and Applications Symposium,136,32,23.5,B,A,A,A,A,C,Computer Hardware
31,SECON,"IEEE International Conference on Sensing, Communication and Networking",299,71,23.7,B,B,B,B,B,B,Computer Hardware
32,ECRTS,Euromicro Conference on Real-Time Systems,110,27,24.5,B,A,A,A,A,C,Communications Technologies
33,ANCS,ACM/IEEE Symposium on Architectures for Networking and Communications Systems,68,17,25.0,B,,,,,B,
34,WoWMoM,"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks",166,42,25.3,B,A,A,A,A,B,Computer Hardware
35,MSWIM,"ACM International Conference on Modeling, Analysis and Simulation of Wireless and Mobile Systems",170,44,25.9,B,A,A,A,A,,Computer Hardware
36,CCGrid,"IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing",236,62,26.3,B,A,A,A,A,,Distributed Computing
37,WiMOB,"IEEE International Conference on Wireless and Mobile Computing, Networking and Communications",262,69,26.3,B,,,C,,C,Communications Technologies
38,ICPP,International Conference on Parallel Processing,267,74,27.7,B,A,A,A,A,C,Distributed Computing
39,IWQoS,IEEE/ACM International Symposium on Quality and Service,95,27,28.4,B,A,B,B,B,,Distributed Computing
40,SASO,IEEE International Conference on Self-Adaptive and Self-Organizing Systems,102,29,28.4,B,,,,,,
41,SAINT,International Symposium on Applications and the Internet,59,17,28.8,B,,C,C,C,C,Other Information and Computing Sciences
42,IPCCC,"International Performance, Computing, and Communications Conference",131,38,29.0,B,B,B,B,B,C,Distributed Computing
43,ICCCN,International Conference on Computer Communications and Networks,326,96,29.4,B,,,,,C,
44,PAM,Passive and Active Measurement Conference,73,23,31.5,B,B,B,B,B,B,InformationSystems
45,SBAC-PAD,Symposium on Computer Architecture and High Performance Computing,88,28,31.8,C,,B,B,B,C,Distributed Computing
46,Cluster,IEEE Cluster,128,41,32,C,A,A,A,A,C,Distributed Computing
47,LCN,Conference on Local Computer Networks,175,56,32.0,C,A,A,A,A,,Computer Hardware
48,eScience,IEEE eScience Conference,158,51,32.3,C,,,,,C,
49,EuroPar,Euro-Par,262,86,32.8,C,,A,A,A,C,Distributed Computing
50,CCNC,IEEE Consumer Communications and Networking Conference,273,90,32.9,C,,B,B,B,C,Distributed Computing
51,MASCOTS,"Modeling, Analysis, and Simulation On Computer and Telecommunication Systems",125,43,34.4,C,A,A,A,A,,
52,DAIS,IFIP International Conference on Distributed Applications and Interoperable Systems,51,18,35.3,C,B,B,B,B,C,Distributed Computing
53,WWIC,International Conference on Wired & Wireless Internet Communications,50,18,36.0,C,,,B,,C,Communications Technologies
54,GLOBECOM,IEEE GLOBECOM,3045,1101,36.2,C,B,B,B,B,B,Computer Hardware
55,NGMAST,"Next Generation Mobile Applications, Services and Technologies",206,75,36.4,C,,,,,C,
56,WD,Wireless Days Conference,195,71,36.4,C,,,,,C,
57,WiOpt,"International Symposium on Modeling and Optimization in Mobile, Ad Hoc and Wireless Networks",122,45,36.9,C,B,B,B,B,C,Computer Hardware
58,ICC,IEEE International Conference on Communications,2882,1064,36.9,C,A,B,B,B,,Computer Hardware
59,ISCC,IEEE Symposium on Computers and Communications,354,148,41.8,C,B,B,B,B,C,Information and Computing Sciences
60,WCNC,IEEE Wireless Communications and Networking Conference,1332,560,42.0,C,B,B,B,B,C,
61,HPSR,International Conference on High Performance Switching and Routing,83,40,48.2,C,B,C,C,C,C,Communications Technologies
62,CNSR,Conference on Communication Networks and Services Research,130,63,48.5,C,,,,,C,
63,VTC,Vehicular Technology Conference,1020,529,51.9,C,B,B,B,B,C,Automotive Engineering